XA-ZTK,A. I. Gral. Juan N. Álvarez,A. I. Lic. Adolfo López Mateos,0:34,11:06,11:40AM CST
XA-ZZZ,A. I. Gral. Juan N. Álvarez,A. I. Lic. Adolfo López Mateos,0:31,11:15,11:46AM CST
N911LM,A. I. Gral. Juan N. Álvarez,A. I. Lic. Adolfo López Mateos,0:26,12:33,12:59PM CST
N19SG,A. I. Gral. Juan N. Álvarez,A. I. Gral. Mariano Matamoros,0:37,12:46,01:23PM CST
VOI831,A. I. Gral. Leobardo C. Ruiz,A. I. Gral. Abelardo L. Rodríguez,2:52,6:30,08:22AM PDT
VOI837,A. I. Gral. Leobardo C. Ruiz,A. I. Gral. Abelardo L. Rodríguez,2:48,7:53,09:41AM PDT
VIV1293,A. I. Gral. Leobardo C. Ruiz,A. I. Benito Juárez,0:56,8:32,09:28AM CST
SLI2643,A. I. Gral. Leobardo C. Ruiz,A. I. Benito Juárez,1:07,9:50,10:57AM CST
SLI8119,A. I. Gral. Leobardo C. Ruiz,A. I. Benito Juárez,1:07,9:50,10:57AM CST
SLI2647,A. I. Gral. Leobardo C. Ruiz,A. I. Benito Juárez,1:12,19:20,08:32PM CST
VIV3011,A. I. Gral. Lucio Blanco,A. I. Miguel Hidalgo y Costilla,0:10,9:11, 09:21AM CST
VIV9036,A. I. Gral. Lucio Blanco,A. I. Gral. Heriberto Jara,0:12,10:34, 10:46AM CST
SLI2497,A. I. Gral. Lucio Blanco,A. I. Benito Juárez,0:07,12:18, 12:25PM CST
N500AD,A. I. Gral. Lucio Blanco,A. I. Miguel Hidalgo y Costilla,0:15,18:35, 06:50PM CST
